,food,size,price
1,Original,Junior,3.0
2,Original,Small,4.0
3,Original or Thin Crust,Medium,6.0
4,Original or Thin Crust,Large,8.0
5,Original,X-Large,11.0
6,Deep Dish,Large,10.0
7,Gluten Free,Small,7.0
9,Original,Junior,0.79
10,Original,Small,1.29
11,Original or Thin Crust,Medium,1.49
12,"Original, Thin Crust or Deep Dish",Large,1.79
13,Original,X-Large,1.99
15,Asian or BBQ Chicken (Original),Junior,6.0
16,Asian or BBQ Chicken (Original),Small,8.0
17,Asian or BBQ Chicken (Original or Thin Crust),Medium,11.0
18,Asian or BBQ Chicken (Original or Thin Crust),Large,15.0
19,Asian or BBQ Chicken (Original),X-Large,18.0
20,Asian or BBQ Chicken (Deep Dish),Large,17.0
21,Asian or BBQ Chicken (Gluten Free),Small,11.0
22,Buffalo Chicken (Original),Junior,5.0
23,Buffalo Chicken (Original),Small,7.0
24,Buffalo Chicken (Original or Thin Crust),Medium,10.0
25,Buffalo Chicken (Original or Thin Crust),Large,13.0
26,Buffalo Chicken (Original),X-Large,16.0
27,Buffalo Chicken (Deep Dish),Large,15.0
28,Buffalo Chicken (Gluten Free),Small,10.0
29,Howie Special (Original),Junior,10.0
30,Howie Special (Original),Small,9.0
31,Howie Special (Original or Thin Crust),Medium,12.0
32,Howie Special (Original or Thin Crust),Large,16.0
33,Howie Special (Original),X-Large,19.0
34,Howie Special (Deep Dish),Large,18.0
35,Howie Special (Gluten Free),Small,12.0
36,Works (Original),Junior,10.0
37,Works (Original),Small,11.0
38,Works (Original or Thin Crust),Medium,14.0
39,Works (Original or Thin Crust)),Large,18.0
40,Works (Original),X-Large,20.0
41,Works (Deep Dish),Large,20.0
42,Works (Gluten Free),Small,14.0
43,Howie Maui (Original),Junior,10.0
44,Howie Maui (Original),Small,7.0
45,Howie Maui (Original or Thin Crust),Medium,10.0
46,Howie Maui (Original or Thin Crust),Large,13.0
47,Howie Maui (Original),X-Large,16.0
48,Howie Maui (Deep Dish),Large,15.0
49,Howie Maui (Gluten Free),Small,10.0
50,Meat Eaters (Original),Junior,10.0
51,Meat Eaters (Original),Small,8.0
52,Meat Eaters (Original or Thin Crust),Medium,11.0
53,Meat Eaters (Original or Thin Crust),Large,15.0
54,Meat Eaters (Original),X-Large,18.0
55,Meat Eaters (Deep Dish),Large,17.0
56,Meat Eaters (Gluten Free),Small,11.0
57,Veggie (Original),Junior,10.0
58,Veggie (Original),Small,9.0
59,Veggie (Original or Thin Crust),Medium,12.0
60,Veggie (Original or Thin Crust),Large,16.0
61,Veggie (Original),X-Large,19.0
62,Veggie (Deep Dish),Large,18.0
63,Veggie (Gluten Free),Small,12.0
64,Bacon Cheddar Burger (Original),Junior,10.0
65,Bacon Cheddar Burger (Original),Small,7.0
66,Bacon Cheddar Burger (Original or Thin Crust),Medium,10.0
67,Bacon Cheddar Burger (Original or Thin Crust),Large,13.0
68,Bacon Cheddar Burger (Original),X-Large,16.0
69,Bacon Cheddar Burger (Deep Dish),Large,15.0
70,Bacon Cheddar Burger (Gluten Free),Small,10.0
71,Philly Cheese Steak (Original),Junior,10.0
72,Philly Cheese Steak (Original),Small,10.0
