,food,size,price
1,Create Your Own Pizza (Original or Pan Crust),Personal 6.5″,5.99
2,"Create Your Own Pizza (Original, Pan or Skinny Crust)",Small 9″,10.49
3,"Create Your Own Pizza (Original, Pan or Skinny Crust)",Medium 12″,14.49
4,"Create Your Own Pizza (Original, Pan or Skinny Crust)",Large 14″,17.99
5,Create Your Own Pizza (Original or Pan Crust),Extra Large 16″,20.99
6,Half & Half (Original or Pan Crust),Personal 6.5″,5.99
7,"Half & Half (Original, Pan or Skinny Crust)",Small 9″,10.49
8,"Half & Half (Original, Pan or Skinny Crust)",Medium 12″,14.49
9,"Half & Half (Original, Pan or Skinny Crust)",Large 14″,17.99
10,Half & Half (Original or Pan Crust),Extra Large 16″,20.99
11,King Arthur’s Supreme® (Original or Pan Crust),Personal 6.5″,7.99
12,"King Arthur’s Supreme® (Original, Pan or Skinny Crust)",Small 9″,13.49
13,"King Arthur’s Supreme® (Original, Pan or Skinny Crust)",Medium 12″,18.79
14,"King Arthur’s Supreme® (Original, Pan or Skinny Crust)",Large 14″,22.99
15,King Arthur’s Supreme® (Original or Pan Crust),Extra Large 16″,25.99
16,King Arthur’s Supreme® with Anchovies (Original or Pan Crust),Personal 6.5″,7.99
17,"King Arthur’s Supreme® with Anchovies (Original, Pan or Skinny Crust)",Small 9″,13.49
18,"King Arthur’s Supreme® with Anchovies (Original, Pan or Skinny Crust)",Medium 12″,18.79
19,"King Arthur’s Supreme® with Anchovies (Original, Pan or Skinny Crust)",Large 14″,22.99
20,King Arthur’s Supreme® with Anchovies (Original or Pan Crust),Extra Large 16″,25.99
21,Montague’s All Meat Marvel® (Original or Pan Crust),Personal 6.5″,7.99
22,"Montague’s All Meat Marvel® (Original, Pan or Skinny Crust)",Small 9″,13.49
23,"Montague’s All Meat Marvel® (Original, Pan or Skinny Crust)",Medium 12″,18.79
24,"Montague’s All Meat Marvel® (Original, Pan or Skinny Crust)",Large 14″,22.99
25,Montague’s All Meat Marvel® (Original or Pan Crust),Extra Large 16″,25.99
26,Guinevere’s Garden Delight® (Original or Pan Crust),Personal 6.5″,7.99
27,"Guinevere’s Garden Delight® (Original, Pan or Skinny Crust)",Small 9″,13.49
28,"Guinevere’s Garden Delight® (Original, Pan or Skinny Crust)",Medium 12″,18.79
29,"Guinevere’s Garden Delight® (Original, Pan or Skinny Crust)",Large 14″,22.99
30,Guinevere’s Garden Delight® (Original or Pan Crust),Extra Large 16″,25.99
31,Maui Zaui™ – with Ham (Original or Pan Crust),Personal 6.5″,7.99
32,"Maui Zaui™ – with Ham (Original, Pan or Skinny Crust)",Small 9″,13.49
33,"Maui Zaui™ – with Ham (Original, Pan or Skinny Crust)",Medium 12″,18.79
34,"Maui Zaui™ – with Ham (Original, Pan or Skinny Crust)",Large 14″,22.99
35,Maui Zaui™ – with Ham (Original or Pan Crust),Extra Large 16″,25.99
36,Maui Zaui™ with Pepperoni (Original or Pan Crust),Personal 6.5″,7.99
37,"Maui Zaui™ with Pepperoni (Original, Pan or Skinny Crust)",Small 9″,13.49
38,"Maui Zaui™ with Pepperoni (Original, Pan or Skinny Crust)",Medium 12″,18.79
39,"Maui Zaui™ with Pepperoni (Original, Pan or Skinny Crust)",Large 14″,22.99
40,Maui Zaui™ with Pepperoni (Original or Pan Crust),Extra Large 16″,25.99
41,Chicken Maui Zaui™ (Original or Pan Crust),Personal 6.5″,7.99
42,"Chicken Maui Zaui™ (Original, Pan or Skinny Crust)",Small 9″,13.49
43,"Chicken Maui Zaui™ (Original, Pan or Skinny Crust)",Medium 12″,18.79
44,"Chicken Maui Zaui™ (Original, Pan or Skinny Crust)",Large 14″,22.99
45,Chicken Maui Zaui™ (Original or Pan Crust),Extra Large 16″,25.99
46,BBQ Chicken (Original or Pan Crust),Personal 6.5″,7.99
47,"BBQ Chicken (Original, Pan or Skinny Crust)",Small 9″,13.49
48,"BBQ Chicken (Original, Pan or Skinny Crust)",Medium 12″,18.79
49,"BBQ Chicken (Original, Pan or Skinny Crust)",Large 14″,22.99
50,BBQ Chicken (Original or Pan Crust),Extra Large 16″,25.99
51,Chicken and Garlic Gourmet™ (Original or Pan Crust),Personal 6.5″,7.99
52,"Chicken and Garlic Gourmet™ (Original, Pan or Skinny Crust)",Small 9″,13.49
53,"Chicken and Garlic Gourmet™ (Original, Pan or Skinny Crust)",Medium 12″,18.79
54,"Chicken and Garlic Gourmet™ (Original, Pan or Skinny Crust)",Large 14″,22.99
55,Chicken and Garlic Gourmet™ (Original or Pan Crust),Extra Large 16″,25.99
56,Gourmet Veggie™ (Original or Pan Crust),Personal 6.5″,7.99
57,"Gourmet Veggie™ (Original, Pan or Skinny Crust)",Small 9″,13.49
58,"Gourmet Veggie™ (Original, Pan or Skinny Crust)",Medium 12″,18.79
59,"Gourmet Veggie™ (Original, Pan or Skinny Crust)",Large 14″,22.99
60,Gourmet Veggie™ (Original or Pan Crust),Extra Large 16″,25.99
61,Italian Garlic Supreme™ (Original or Pan Crust),Personal 6.5″,7.99
62,"Italian Garlic Supreme™ (Original, Pan or Skinny Crust)",Small 9″,13.49
63,"Italian Garlic Supreme™ (Original, Pan or Skinny Crust)",Medium 12″,18.79
64,"Italian Garlic Supreme™ (Original, Pan or Skinny Crust)",Large 14″,22.99
65,Italian Garlic Supreme™ (Original or Pan Crust),Extra Large 16″,25.99
66,Ulti-Meat™ (Original or Pan Crust),Personal 6.5″,7.99
67,"Ulti-Meat™ (Original, Pan or Skinny Crust)",Small 9″,13.49
68,"Ulti-Meat™ (Original, Pan or Skinny Crust)",Medium 12″,18.79
69,"Ulti-Meat™ (Original, Pan or Skinny Crust)",Large 14″,22.99
70,Ulti-Meat™ (Original or Pan Crust),Extra Large 16″,25.99
71,Wombo Combo™ (Original or Pan Crust),Personal 6.5″,7.99
72,"Wombo Combo™ (Original, Pan or Skinny Crust)",Small 9″,13.49
73,"Wombo Combo™ (Original, Pan or Skinny Crust)",Medium 12″,18.79
74,"Wombo Combo™ (Original, Pan or Skinny Crust)",Large 14″,22.99
75,Wombo Combo™ (Original or Pan Crust),Extra Large 16″,25.99
76,Hawaiian (Original or Pan Crust),Personal 6.5″,6.99
77,"Hawaiian (Original, Pan or Skinny Crust)",Small 9″,11.99
78,"Hawaiian (Original, Pan or Skinny Crust)",Medium 12″,16.49
79,"Hawaiian (Original, Pan or Skinny Crust)",Large 14″,20.24
80,Hawaiian (Original or Pan Crust),Extra Large 16″,23.49
81,Smokehouse – Primo Pepperoni (Original or Pan Crust),Personal 6.5″,7.99
82,"Smokehouse – Primo Pepperoni (Original, Pan or Skinny Crust)",Small 9″,13.49
83,"Smokehouse – Primo Pepperoni (Original, Pan or Skinny Crust)",Medium 12″,18.79
84,"Smokehouse – Primo Pepperoni (Original, Pan or Skinny Crust)",Large 14″,22.99
85,Smokehouse – Primo Pepperoni (Original or Pan Crust),Extra Large 16″,25.99
86,Smokehouse – Chicken (Original or Pan Crust),Personal 6.5″,7.99
87,"Smokehouse – Chicken (Original, Pan or Skinny Crust)",Small 9″,13.49
88,"Smokehouse – Chicken (Original, Pan or Skinny Crust)",Medium 12″,18.79
89,"Smokehouse – Chicken (Original, Pan or Skinny Crust)",Large 14″,22.99
90,Smokehouse – Chicken (Original or Pan Crust),Extra Large 16″,25.99
91,Hearty Bacon Supreme (Original or Pan Crust),Personal 6.5″,7.99
92,"Hearty Bacon Supreme (Original, Pan or Skinny Crust)",Small 9″,13.49
93,"Hearty Bacon Supreme (Original, Pan or Skinny Crust)",Medium 12″,18.79
94,"Hearty Bacon Supreme (Original, Pan or Skinny Crust)",Large 14″,22.99
95,Hearty Bacon Supreme (Original or Pan Crust),Extra Large 16″,25.99
97,Garlic Parmesan Twists ™,3 Pc.,3.99
98,Garlic Parmesan Twists ™,6 Pc.,5.99
99,Garlic Parmesan Twists ™,8 Pc.,7.99
100,Garlic Parmesan Twists ™,12 Pc.,9.99
101,Garlic Parmesan Twists ™,24 Pc.,17.99
102,Cinnamon Twists,3 Pc.,3.99
103,Cinnamon Twists,6 Pc.,5.99
104,Cinnamon Twists,8 Pc.,7.99
105,Cinnamon Twists,12 Pc.,9.99
106,Cinnamon Twists,24 Pc.,17.99
107,Garden Salad,Individual,5.49
108,Garden Salad,Family,7.99
109,Garden Salad,Party Pack,14.99
110,Caesar Salad,Individual,5.49
111,Caesar Salad,Family,7.99
112,Boneless Wings,8 Pc.,5.99
113,Boneless Wings,16 Pc.,9.99
114,Boneless Wings,32 Pc.,18.99
115,Classic Wings,6 Pc.,5.99
116,Classic Wings,8 Pc.,7.99
117,Classic Wings,12 Pc.,9.99
118,Classic Wings,24 Pc.,18.99
120,Club Sandwich (Chicken or Ham),,5.99
121,Pizza Sandwich (With 3 Toppings),,5.99
123,"Apple, Grape, or Orange Juice",,1.49
124,"Soda (Pepsi, Diet Pepsi, Dr. Pepper, Mountain Dew, Sierra Mist or Root Beer)",2 Litter Bottle,2.99
126,Tomato Pesto Flatbread,Individual,5.99
127,Tomato Pesto Flatbread,Full,11.99
128,Roasted Veggies & Chicken Flatbread,Individual,5.99
129,Roasted Veggies & Chicken Flatbread,Full,11.99
130,Pepperoni Artisan Flatbread,Individual,5.99
131,Pepperoni Artisan Flatbread,Full,11.99
132,Roasted Veggies & Mozzarella Flatbread,Individual,5.99
133,Roasted Veggies & Mozzarella Flatbread,Full,11.99
134,Island Flatbread,Individual,5.99
135,Island Flatbread,Full,11.99
137,Dipping – Bleu Cheese Sauce,2 oz.,0.5
138,Dipping – Buffalo Sauce,2 oz.,0.5
139,Dipping – Creamy Ranch Sauce,2 oz.,0.5
140,Dipping – Creamy Pesto Sauce,2 oz.,0.5
141,Dipping – Zesty Red Sauce,2 oz.,0.5
142,Dipping – Polynesian Sauce,2 oz.,0.5
143,Dipping – BBQ Sauce,2 oz.,0.5
144,Salad Dressing – Creamy Ranch,2 oz.,0.5
145,Salad Dressing – Caesar,2 oz.,0.5
146,Salad Dressing – Light Ranch,2 oz.,0.5
147,Salad Dressing – Honey Mustard,2 oz.,0.5
148,Salad Dressing – Bleu Cheese,2 oz.,0.5
149,Salad Dressing – Italian,2 oz.,0.5
150,Salad Dressing – Thousand Island,2 oz.,0.5
151,Salad Dressing – French,2 oz.,0.5
153,Cinnamon Twists,3 Pc.,3.99
154,Cinnamon Twists,6 Pc.,5.99
155,Cinnamon Twists,8 Pc.,7.99
156,Cinnamon Twists,12 Pc.,9.99
157,Cinnamon Twists,24 Pc.,17.99
159,"The Twist (1 Large Specialty Pizza, 2 Large 1-Topping Pizzas, & your choice of 12 Twists – choose Garlic Parmesan or Cinnamon)",,58.99
160,"Timeless Tradition (1 Large Specialty Pizza, 2 Large 1-Topping Pizzas, & a Party Pack Size Garden Salad)",,63.99
161,"Wingin’ It (1 Large Specialty Pizza, 2 Large 1-Topping Pizzas, & your choice of 24 Classic Wings or 32 Boneless Wings)",,68.99
