,food,size,price
1,Hand Tossed,"Small (10"")",5.99
2,Hand Tossed,"Medium (12"")",7.99
3,Hand Tossed,"Large (14"")",9.99
4,Handmade Pan,"Medium (12"")",7.99
5,Crunchy Thin Crust,"Small (10"")",5.99
6,Crunchy Thin Crust,"Medium (12"")",7.99
7,Crunchy Thin Crust,"Large (14"")",9.99
8,Brooklyn Style,"Large (14"")",9.99
9,Brooklyn Style,"X-Large (16"")",11.99
10,Gluten Free Crust,"Small (10"")",8.99
12,Spinach & Feta (Hand Tossed or Thin Crust),"Small (10"")",11.99
13,"Spinach & Feta (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
14,"Spinach & Feta (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
15,Spinach & Feta (Brooklyn Style),"X-Large (16"")",17.99
16,Spinach & Feta (Gluten Free Crust),"Small (10"")",14.99
17,Wisconsin 6 Cheese (Hand Tossed or Thin Crust),"Small (10"")",11.99
18,"Wisconsin 6 Cheese (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
19,"Wisconsin 6 Cheese (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
20,Wisconsin 6 Cheese (Brooklyn Style),"X-Large (16"")",17.99
21,Wisconsin 6 Cheese (Gluten Free Crust),"Small (10"")",14.99
22,Honolulu Hawaiian (Hand Tossed or Thin Crust),"Small (10"")",11.99
23,"Honolulu Hawaiian (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
24,"Honolulu Hawaiian (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
25,Honolulu Hawaiian (Brooklyn Style),"X-Large (16"")",17.99
26,Honolulu Hawaiian (Gluten Free Crust),"Small (10"")",14.99
27,Philly Cheese Steak (Hand Tossed or Thin Crust),"Small (10"")",11.99
28,"Philly Cheese Steak (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
29,"Philly Cheese Steak (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
30,Philly Cheese Steak (Brooklyn Style),"X-Large (16"")",17.99
31,Philly Cheese Steak (Gluten Free Crust),"Small (10"")",14.99
32,Pacific Veggie (Hand Tossed or Thin Crust),"Small (10"")",11.99
33,"Pacific Veggie (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
34,"Pacific Veggie (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
35,Pacific Veggie (Brooklyn Style),"X-Large (16"")",17.99
36,Pacific Veggie (Gluten Free Crust),"Small (10"")",14.99
37,Cali Chicken Bacon Ranch™ (Hand Tossed or Thin Crust),"Small (10"")",11.99
38,"Cali Chicken Bacon Ranch™ (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
39,"Cali Chicken Bacon Ranch™ (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
40,Cali Chicken Bacon Ranch™ (Brooklyn Style),"X-Large (16"")",17.99
41,Cali Chicken Bacon Ranch™ (Gluten Free Crust),"Small (10"")",14.99
42,Fiery Hawaiian™ (Hand Tossed or Thin Crust),"Small (10"")",11.99
43,"Fiery Hawaiian™ (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
44,"Fiery Hawaiian™ (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
45,Fiery Hawaiian™ (Brooklyn Style),"X-Large (16"")",17.99
46,Fiery Hawaiian™ (Gluten Free Crust),"Small (10"")",14.99
47,Buffalo Chicken (Hand Tossed or Thin Crust),"Small (10"")",11.99
48,"Buffalo Chicken (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
49,"Buffalo Chicken (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
50,Buffalo Chicken (Brooklyn Style),"X-Large (16"")",17.99
51,Buffalo Chicken (Gluten Free Crust),"Small (10"")",14.99
52,Memphis BBQ Chicken (Hand Tossed or Thin Crust),"Small (10"")",11.99
53,"Memphis BBQ Chicken (Hand Tossed, Hnadmade Pan or Thin Crust)","Medium (12"")",13.99
54,"Memphis BBQ Chicken (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
55,Memphis BBQ Chicken (Brooklyn Style),"X-Large (16"")",17.99
56,Memphis BBQ Chicken (Gluten Free Crust),"Small (10"")",14.99
58,America's Favorite Feast® (Hand Tossed or Thin Crust),"Small (10"")",11.99
59,America's Favorite Feast® (Hand Tossed or Thin Crust),"Medium (12"")",13.99
60,America's Favorite Feast® (Handmade Pan),"Medium (12"")",15.49
61,"America's Favorite Feast® (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
62,America's Favorite Feast® (Brooklyn Style),"X-Large (16"")",17.99
63,America's Favorite Feast® (Gluten Free Crust),"Small (10"")",14.99
64,Bacon Cheeseburger Feast® (Hand Tossed or Thin Crust),"Small (10"")",11.99
65,Bacon Cheeseburger Feast® (Hand Tossed or Thin Crust),"Medium (12"")",13.99
66,Bacon Cheeseburger Feast® (Handmade Pan),"Medium (12"")",15.49
67,"Bacon Cheeseburger Feast® (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
68,Bacon Cheeseburger Feast® (Brooklyn Style),"X-Large (16"")",17.99
69,Bacon Cheeseburger Feast® (Gluten Free Crust),"Small (10"")",14.99
70,Deluxe Feast® (Hand Tossed or Thin Crust),"Small (10"")",11.99
71,Deluxe Feast® (Hand Tossed or Thin Crust),"Medium (12"")",13.99
72,Deluxe Feast® (Handmade Pan),"Medium (12"")",15.49
73,"Deluxe Feast® (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
74,Deluxe Feast® (Brooklyn Style),"X-Large (16"")",17.99
75,Deluxe Feast® (Gluten Free Crust),"Small (10"")",14.99
76,ExtravaganZZa Feast® (Hand Tossed or Thin Crust),"Small (10"")",11.99
77,"ExtravaganZZa Feast® (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
78,"ExtravaganZZa Feast® (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
79,ExtravaganZZa Feast® (Brooklyn Style),"X-Large (16"")",17.99
80,ExtravaganZZa Feast® (Gluten Free Crust),"Small (10"")",14.99
81,MeatZZa Feast® (Hand Tossed or Thin Crust),"Small (10"")",11.99
82,"MeatZZa Feast® (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
83,"MeatZZa Feast® (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
84,MeatZZa Feast® (Brooklyn Style),"X-Large (16"")",17.99
85,MeatZZa Feast® (Gluten Free Crust),"Small (10"")",14.99
86,Ultimate Pepperoni Feast™ (Hand Tossed or Thin Crust),"Small (10"")",11.99
87,"Ultimate Pepperoni Feast™ (Hand Tossed, Handmade Pan or Thin Crust)","Medium (12"")",13.99
88,"Ultimate Pepperoni Feast™ (Hand Tossed, Thin Crust or Brooklyn Style)","Large (14"")",15.99
89,Ultimate Pepperoni Feast™ (Brooklyn Style),"X-Large (16"")",17.99
90,Ultimate Pepperoni Feast™ (Gluten Free Crust),"Small (10"")",14.99
