,food,size,price
1,Create Your Own (New York Pan),Medium,9.49
2,Create Your Own (New York Pan),Large,11.49
3,Create Your Own (Original Thin Crust),Medium,9.49
4,Create Your Own (Original Thin Crust),Large,11.49
5,Create Your Own (Italian Crust),Medium,9.49
6,Create Your Own (Italian Crust),Large,11.49
7,Create Your Own (Triple Cheezy Stuffed Crust),Large,10.99
8,Thin Crust Pizza,Medium,13.99
9,Thin Crust Pizza,Large,15.99
10,New York Pan Pizza,Medium,13.99
11,New York Pan Pizza,Large,15.99
12,Italian Crust Pizza,Medium,13.99
13,Italian Crust Pizza,Large,15.99
14,Triple Cheezy Stuffed Crust Pizza,Large,15.99
16,Individual Spaghetti with Marinara,,4.49
17,Individual Spaghetti with Meat Sauce,,4.99
18,Individual Spaghetti with Meatballs,,6.49
19,Family Spaghetti with Marinara,,9.99
20,Family Spaghetti with Meat Sauce,,10.49
21,Family Spaghetti with Meatballs,,13.99
22,Individual Chicken Alfredo,,4.49
23,Family Size Chicken Alfredo,,9.99
25,Pepperoni Twists,2 Pc.,2.99
26,Pepperoni Twists,6 Pc.,6.99
27,Pepperoni Twists,12 Pc.,11.99
28,Mozzarella Sticks,4 Pc.,2.99
29,Mozzarella Sticks,8 Pc.,4.99
30,Garlic Bread Rolls,6 Pc.,2.99
31,Garlic Bread Rolls,12 Pc.,4.99
32,Garlic Cheesebread,Medium,5.99
33,Garlic Cheesebread,Large,6.99
34,Bone-less Zesty Wings,8 Pc.,9.99
35,Bone-less Zesty Wings,16 Pc.,14.99
36,Bone-less Zesty Wings,40 Pc.,29.99
37,Bone-in Zesty Wings,8 Pc.,9.99
38,Bone-in Zesty Wings,16 Pc.,14.99
39,Bone-in Zesty Wings,40 Pc.,29.99
41,Pepperoni Stromboli,Medium,5.49
42,Pepperoni Stromboli,Large,7.49
44,Chef Salad,Large,6.99
45,Buffalo Chicken Salad,Large,6.99
47,Pizzerts®,Medium,5.99
48,Pizzerts®,Large,7.99
49,Cinnamon Stromboli,Medium,4.99
50,Cinnamon Stromboli,Large,6.99
51,Cinnamon Sticks,Medium,3.99
52,Cinnamon Sticks,Large,5.99
54,Coke,2 Liter,2.79
55,Diet Coke,2 Liter,2.79
56,Sprite,2 Liter,2.79
57,Pibb,2 Liter,2.79
58,Iced Tea (Sweetened or Un-sweetened),Half Gallon,2.79
