,food,size,price
1,Cheese (Original Crust),Mini,4.99
2,Cheese (Original or Golden Crust),Small,10.99
3,"Cheese (Original, Golden or Thin Crust)",Medium,12.99
4,Cheese (Mozza-Loaded Crust),Medium,13.49
5,"Cheese (Original, Golden or Thin Crust)",Large,15.99
6,Cheese (Mozza-Loaded Crust),Large,16.49
7,Cheese (Original or Thin Crust),Jumbo,18.99
9,All-Meat Combo Pizza (Original Crust),Mini,5.99
10,All-Meat Combo Pizza (Original or Golden Crust),Small,15.99
11,"All-Meat Combo Pizza (Original, Golden or Thin Crust)",Medium,19.99
12,All-Meat Combo Pizza (Mozza-Loaded Crust),Medium,22.24
13,"All-Meat Combo Pizza (Original, Golden or Thin Crust)",Large,23.99
14,All-Meat Combo Pizza (Mozza-Loaded Crust),Large,26.23
15,All-Meat Combo Pizza (Original or Thin Crust),Jumbo,27.99
16,Bacon Cheeseburger Pizza (Original Crust),Mini,5.99
17,Bacon Cheeseburger Pizza (Original or Golden Crust),Small,15.99
18,"Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Medium,19.99
19,Bacon Cheeseburger Pizza (Mozza-Loaded Crust),Medium,22.24
20,"Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Large,23.99
21,Bacon Cheeseburger Pizza (Mozza-Loaded Crust),Large,26.23
22,Bacon Cheeseburger Pizza (Original or Thin Crust),Jumbo,27.99
23,Taco Pie Pizza (Original Crust),Mini,5.99
24,Taco Pie Pizza (Original or Golden Crust),Small,15.99
25,"Taco Pie Pizza (Original, Golden or Thin Crust)",Medium,19.99
26,Taco Pie Pizza (Mozza-Loaded Crust),Medium,22.24
27,"Taco Pie Pizza (Original, Golden or Thin Crust)",Large,23.99
28,Taco Pie Pizza (Mozza-Loaded Crust),Large,26.23
29,Taco Pie Pizza (Original or Thin Crust),Jumbo,27.99
30,Classic Combo Pizza (Original Crust),Mini,5.99
31,Classic Combo Pizza (Original or Golden Crust),Small,15.99
32,"Classic Combo Pizza (Original, Golden or Thin Crust)",Medium,19.99
33,Classic Combo Pizza (Mozza-Loaded Crust),Medium,22.24
34,"Classic Combo Pizza (Original, Golden or Thin Crust)",Large,23.99
35,Classic Combo Pizza (Mozza-Loaded Crust),Large,26.23
36,Classic Combo Pizza (Original or Thin Crust),Jumbo,27.99
37,Humble Pie Pizza (Original Crust),Mini,5.99
38,Humble Pie Pizza (Original or Golden Crust),Small,15.99
39,"Humble Pie Pizza (Original, Golden or Thin Crust)",Medium,19.99
40,Humble Pie Pizza (Mozza-Loaded Crust),Medium,22.24
41,"Humble Pie Pizza (Original, Golden or Thin Crust)",Large,23.99
42,Humble Pie Pizza (Mozza-Loaded Crust),Large,26.23
43,Humble Pie Pizza (Original or Thin Crust),Jumbo,27.99
44,Veggie Pie Pizza (Original Crust),Mini,5.99
45,Veggie Pie Pizza (Original or Golden Crust),Small,15.99
46,"Veggie Pie Pizza (Original, Golden or Thin Crust)",Medium,19.99
47,Veggie Pie Pizza (Mozza-Loaded Crust),Medium,22.24
48,"Veggie Pie Pizza (Original, Golden or Thin Crust)",Large,23.99
49,Veggie Pie Pizza (Mozza-Loaded Crust),Large,26.23
50,Veggie Pie Pizza (Original or Thin Crust),Jumbo,27.99
51,Hot Stuff Pizza (Original Crust),Mini,5.99
52,Hot Stuff Pizza (Original or Golden Crust),Small,15.99
53,"Hot Stuff Pizza (Original, Golden or Thin Crust)",Medium,19.99
54,Hot Stuff Pizza (Mozza-Loaded Crust),Medium,22.24
55,"Hot Stuff Pizza (Original, Golden or Thin Crust)",Large,23.99
56,Hot Stuff Pizza (Mozza-Loaded Crust),Large,26.23
57,Hot Stuff Pizza (Original or Thin Crust),Jumbo,27.99
58,Hawaiian Pizza (Original Crust),Mini,5.99
59,Hawaiian Pizza (Original or Golden Crust),Small,15.99
