,food,size,price
1,"Five Star (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
2,Five Star (Gluten-Free Crust),,8.99
3,"BBQ Chicken (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
4,BBQ Chicken (Gluten-Free Crust),,8.99
5,"Chicken Carbonara (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
6,Chicken Carbonara (Gluten-Free Crust),,8.99
7,"Athenian (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
8,Athenian (Gluten-Free Crust),,8.99
9,"High Five (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
10,High Five (Gluten-Free Crust),,8.99
11,"Farmer’s Market (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
12,Farmer’s Market (Gluten-Free Crust),,8.99
13,"Tuscan Chicken (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
14,Tuscan Chicken (Gluten-Free Crust),,8.99
15,"Pesto Chicken Alfredo (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
16,Pesto Chicken Alfredo (Gluten-Free Crust),,8.99
17,"Buffalo Chicken (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
18,Buffalo Chicken (Gluten-Free Crust),,8.99
19,"Margherita (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
20,Margherita (Gluten-Free Crust),,8.99
22,"Create Your Own (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,6.99
23,Create Your Own (Gluten-Free Crust),,8.99
25,"Cheese Pizza (Artisan Thin, Classic Pan or Whole Grain Thin Crust)",,5.49
26,Cheese Pizza (Gluten-Free Crust),,7.49
28,Kid's Pie (Thin Crust),"6"" Individual Size",3.69
